representacao,consulta_original,consulta_processada,rank,score,doc_id,text_raw,product_name,product_brand,site_category_lv1,overall_rating,polarity
Bag-of-Words,produto chegou com defeito,produto chegar defeito,1,0.7745966692414834,8895,nem chegou. Não dá pra valiar um produto que nem chegou ainda.,Fechadura Digital FR 200 - Intelbras,intelbras,Casa e Construção,1,['NEUTRO']
Bag-of-Words,produto chegou com defeito,produto chegar defeito,2,0.769800358919501,7023,Qual o tempo que chegou o produto?. Gostaria de saber quanto tempo mais o menos chegou o produto ?,"Combo Três Caixas Térmicas - 32, 12 E 5 Litros - Preta Soprano",,Esporte e Lazer,3,['NEUTRO']
Bag-of-Words,produto chegou com defeito,produto chegar defeito,3,0.769800358919501,6655,Produto não chegou. O produto ainda não chegou ! Mais de 1 mês de atraso e nada.,Carrinho de Bebê Travel System Mobi Grey Denin Silver - Safety 1st,,Bebês,1,['NEGATIVO']
Bag-of-Words,produto chegou com defeito,produto chegar defeito,4,0.74535599249993,2573,Estou na espera do produto. Este produto ainda ñ chegou. Não tenho como avaliar um produto que ainda ñ chegou.,Liquidificador Philco Ph900 Preto 900w 12 Velocidades,philco,Eletroportáteis,1,['NEUTRO']
Bag-of-Words,produto chegou com defeito,produto chegar defeito,5,0.7385489458759965,5817,"PRODUTO COM DEFEITO!. O produto chegou , depois de um mês apresentou defeito, pedi então o cancelamento e até agora não houve estorno do valor, sendo que consta nas informações que a garantia por defeito é de 6 meses. Não recomendo!",Bateria Dell N5110 N5030r N5010 N5040 N5050 N405 98,,Informática e Acessórios,1,['NEGATIVO']
TF-IDF,produto chegou com defeito,produto chegar defeito,1,0.5898616384563219,698,Aquecedor para lavatorio. Entrega rápida e chegou sem nenhum defeito. Obrigada,Conjunto Aquecedor E Mangueira Para Lavatorio - 220v,,Ferramentas e Jardim,3,['POSITIVO']
TF-IDF,produto chegou com defeito,produto chegar defeito,2,0.5820028611089044,1897,"Com defeito. Produto chegou com defeito. Por isso não posso dizer se é bom ou ruim. Pedi a troca, aguardando.",Ferro a Vapor Arno Ultragliss 64 FU64,arno,Eletroportáteis,1,['NEGATIVO']
TF-IDF,produto chegou com defeito,produto chegar defeito,3,0.5244153732382388,9156,"problema. produto chegou com defeito, não funciona. Fiz a devolução!",Memoria De 2gb Ddr3 1333mhz Cl9 240 Pinos Markvision,,Informática e Acessórios,1,['NEGATIVO']
TF-IDF,produto chegou com defeito,produto chegar defeito,4,0.5127492911963474,8895,nem chegou. Não dá pra valiar um produto que nem chegou ainda.,Fechadura Digital FR 200 - Intelbras,intelbras,Casa e Construção,1,['NEUTRO']
TF-IDF,produto chegou com defeito,produto chegar defeito,5,0.512213252043308,7958,Veio com defeito. Muito triste paguei um produto e chegou com defeito paguei para instalar e no fim o produto estava com defeito vou ter que pagar para desinstalar para mandar de volta.,Central Multímidia Evolve+ Multilaser 2 Din Espelhamento Celular + Camera Ré + Sensor Prata,,Automotivo,1,['NEGATIVO']
Bag-of-Words,entrega atrasada,entregar atrasar,1,0.8944271909999159,2445,"Entrega atrasada!. O produto é bom, porém foi entregue atrasado, após o natal.",Som Portátil Boombox Multilaser SP178 5 em 1 Bivolt Com Entradas USB Leitor de CD e Rádio FM Preto,multilaser,Áudio,3,"['NEGATIVO', 'POSITIVO']"
Bag-of-Words,entrega atrasada,entregar atrasar,2,0.5773502691896258,2442,Entrega atrasada. Ainda não recebi o produto. Mais de 30 dias de atraso !!!,Ferro a Vapor Black & Decker Ceramic Gliss - Vermelho,black & decker,Eletroportáteis,1,['NEGATIVO']
Bag-of-Words,entrega atrasada,entregar atrasar,3,0.5477225575051661,101,8. Poderia entregar mais rápido ne. Demora demais Era bom se entregasse os produtos no máximo 7 dias. NÃO quase 1 mês pra entregar,Suporte Ventosa de Sucção Suction Cup Para Câmeras de Ação ou Esportivas Hero SJCam Eken XiaoMi,,Câmeras e Filmadoras,3,['NEGATIVO']
Bag-of-Words,entrega atrasada,entregar atrasar,4,0.5345224838248487,2454,Entrega dentro do pazo. Muito boa a atenção e entrega dentro do prazo. Recomendo,Jogo Fifa 17 (Fifa 2017) - Xbox One,,Games,4,['POSITIVO']
Bag-of-Words,entrega atrasada,entregar atrasar,5,0.5345224838248487,5047,"Não foi entregue. Infelizmente não entregaram a comoda, mas foi devolvido o dinheiro.",Cômoda Branco Havana Plus 4 Gavetas 1 Porta - Santos Andirá,santos andira,Móveis,2,['NEGATIVO']
TF-IDF,entrega atrasada,entregar atrasar,1,0.8724718132788205,2445,"Entrega atrasada!. O produto é bom, porém foi entregue atrasado, após o natal.",Som Portátil Boombox Multilaser SP178 5 em 1 Bivolt Com Entradas USB Leitor de CD e Rádio FM Preto,multilaser,Áudio,3,"['NEGATIVO', 'POSITIVO']"
TF-IDF,entrega atrasada,entregar atrasar,2,0.568938959320308,2443,"Entrega atrasada. Até agora não recebi o meu produto, como que eu vou avaliar . Está bem atrasado a entrega !!!!",Coifa de Parede Tramontina Vetro 90cm - Inox,tramontina,Eletrodomésticos,1,['NEGATIVO']
TF-IDF,entrega atrasada,entregar atrasar,3,0.5398432340863991,2442,Entrega atrasada. Ainda não recebi o produto. Mais de 30 dias de atraso !!!,Ferro a Vapor Black & Decker Ceramic Gliss - Vermelho,black & decker,Eletroportáteis,1,['NEGATIVO']
TF-IDF,entrega atrasada,entregar atrasar,4,0.5329792032398468,8483,entrega atrasou. á entrega do produto não foi no prazo informado na compra,Controle Remoto Para Ar Condicionado Consul Split Consul,,Ar-condicionado e Aquecedores,2,['NEGATIVO']
TF-IDF,entrega atrasada,entregar atrasar,5,0.5226230100175306,8166,atraso na entrega. Entrega muito atrasado. Não cumpre prazo de entrega.,Cabo Adaptador Conversor Hdmi Para Vga Com Saída P2 De Áudio,,Informática e Acessórios,2,['NEGATIVO']
Bag-of-Words,ótimo custo benefício,bom custo benefício,1,0.8660254037844388,9729,"Ótimo custo-benefício!!!. Bom celular, configurações boas para um uso mais simples, bom custo benefício.","Smartphone Samsung Galaxy On 7 Dual Chip Android 5.1 Tela 5.5"" 16GB 4G Câmera 13MP - Dourado",samsung,Celulares e Smartphones,4,['POSITIVO']
Bag-of-Words,ótimo custo benefício,bom custo benefício,2,0.8660254037844388,9730,Ótimo custo-benefício.. Consigo monitorar meus cães quando estou no trabalho. Funciona muito bem. Ótimo custo-benefício.,"Câmera Ip Wireless Visão Noturna - Ios, Android E Windows - C/ Entrada Micro Sd - Wifi Com Áudio",,Casa e Construção,4,['POSITIVO']
Bag-of-Words,ótimo custo benefício,bom custo benefício,3,0.8660254037844388,9969,ótimo custo benefício. Aparelho leve e bonito Atendeu minha necessidae Ótimo custo benefício,"Smartphone Samsung Galaxy J5 Prime Dual Chip Android 6.0 Tela 5"" Quad-Core 1.4 GHz 32GB 4G Wi-Fi Câmera 13MP com Leitor de Digital - Rosa",,Celulares e Smartphones,5,['POSITIVO']
Bag-of-Words,ótimo custo benefício,bom custo benefício,4,0.8164965809277263,6346,Produto com ótimo custo benefício. Produto com ótimo custo benefício. Sem nenhum problema e bom preço.,Lençol De Casal Avulso Com Elástico Malha 100% Algodão verde,,"Cama, Mesa e Banho",4,['POSITIVO']
Bag-of-Words,ótimo custo benefício,bom custo benefício,5,0.8006407690254358,9708,Ótimo custo benefício. Excelente custo benefício tendo em vista o valor dos produtos.,Kit MP3 Player Multilaser New One P3319 Bluetooth USB Sd Aux + Sensor de Estacionamento Prata,,Automotivo,5,['POSITIVO']
TF-IDF,ótimo custo benefício,bom custo benefício,1,0.8509606540614505,9730,Ótimo custo-benefício.. Consigo monitorar meus cães quando estou no trabalho. Funciona muito bem. Ótimo custo-benefício.,"Câmera Ip Wireless Visão Noturna - Ios, Android E Windows - C/ Entrada Micro Sd - Wifi Com Áudio",,Casa e Construção,4,['POSITIVO']
TF-IDF,ótimo custo benefício,bom custo benefício,2,0.7891374443955554,6346,Produto com ótimo custo benefício. Produto com ótimo custo benefício. Sem nenhum problema e bom preço.,Lençol De Casal Avulso Com Elástico Malha 100% Algodão verde,,"Cama, Mesa e Banho",4,['POSITIVO']
TF-IDF,ótimo custo benefício,bom custo benefício,3,0.7686803984458636,9969,ótimo custo benefício. Aparelho leve e bonito Atendeu minha necessidae Ótimo custo benefício,"Smartphone Samsung Galaxy J5 Prime Dual Chip Android 6.0 Tela 5"" Quad-Core 1.4 GHz 32GB 4G Wi-Fi Câmera 13MP com Leitor de Digital - Rosa",,Celulares e Smartphones,5,['POSITIVO']
TF-IDF,ótimo custo benefício,bom custo benefício,4,0.7155324791032583,9729,"Ótimo custo-benefício!!!. Bom celular, configurações boas para um uso mais simples, bom custo benefício.","Smartphone Samsung Galaxy On 7 Dual Chip Android 5.1 Tela 5.5"" 16GB 4G Câmera 13MP - Dourado",samsung,Celulares e Smartphones,4,['POSITIVO']
TF-IDF,ótimo custo benefício,bom custo benefício,5,0.7025625984789039,1374,"Bom custo benefício. Atendeu minhas expectativas,ótimo custo benefício, resumindo recomendo esse dispositivo","Smartphone Samsung Galaxy J7 Prime Dual Chip Android 6.0 Tela 5.5"" Octa- Core 1.6 GHz 32GB 4G Câmera 13MP - Rosa",samsung,Celulares e Smartphones,3,['POSITIVO']
